Comment,Designator,Footprint,LCSC,Quantity
100n,"C10,C11,C12,C13,C14,C15,C17,C4,C6",C_0402_1005Metric,C77020,9
100u,C1,CP_Elec_10x12.5,C22387799,1
10k,"R2,R7,R8,R9",C_0402_1005Metric,C60490,4
10p,"C18,C19",C_0402_1005Metric,C782046,2
10u,"C2,C3",C_1210_3225Metric,C5156756,2
10u,"C7,C8",C_0603_1608Metric,C96446,2
15u,L1,L_Changjiang_FNR4020S,C167837,1
1N4148,D1,D_SOD-323,C129905,1
1u,"C16,C5,C9",C_0603_1608Metric,C14663,3
2k2,"R3,R4,R5,R6",C_0402_1005Metric,C25879,4
2u2,"C20,C21",C_0402_1005Metric,C170151,2
31k2,R1,C_0402_1005Metric,C11463,1
600Î© @ 100MHz,FB1,C_0603_1608Metric,C19330,1
B1100,D2,D_SMA,C2848680,1
BOOT0,SW2,SW_Push_1P1T_NO_CK_KMR2,C221678,1
MCP16331x-xCH,U1,SOT-23-6,C105695,1
NRST,SW1,SW_Push_1P1T_NO_CK_KMR2,C221678,1
SN65HVD230,U2,SOIC-8_3.9x4.9mm_P1.27mm,C16468,1
STM32H523CETx,U3,LQFP-48_7x7mm_P0.5mm,C22460834,1
X322516MLB4SI,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738,1
USART2,J2,Molex_SPOX_5268-04A_1x04_P2.50mm_Horizontal,,1
I2C2,J4,Molex_SPOX_5268-04A_1x04_P2.50mm_Horizontal,,1
SW2,J6,Molex_SPOX_5268-03A_1x03_P2.50mm_Horizontal,,1
XT30PW(2+2)-M.G.B,U4,CONN-TH_4P-XT30PW-M,,1
SW1,J5,Molex_SPOX_5268-03A_1x03_P2.50mm_Horizontal,,1
I2C1,J3,Molex_SPOX_5268-04A_1x04_P2.50mm_Horizontal,,1
