Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100u,CP_Elec_10x12.5,131.5,-103.9,180.0,top
C10,100n,C_0402_1005Metric,143.16345,-106.875779,0.0,top
C11,100n,C_0402_1005Metric,151.95345,-116.300779,0.0,top
C12,100n,C_0402_1005Metric,154.43345,-108.030779,90.0,top
C13,100n,C_0402_1005Metric,145.93345,-104.800779,180.0,top
C14,100n,C_0402_1005Metric,157.5,-88.98,-90.0,top
C15,100n,C_0402_1005Metric,157.0,-91.0,90.0,top
C16,1u,C_0603_1608Metric,156.025,-106.0,0.0,top
C17,100n,C_0402_1005Metric,154.41345,-104.800779,180.0,top
C18,10p,C_0402_1005Metric,142.93345,-110.570779,-90.0,top
C19,10p,C_0402_1005Metric,142.93345,-108.570779,90.0,top
C2,10u,C_1210_3225Metric,136.975,-93.575,180.0,top
C20,2u2,C_0402_1005Metric,150.43345,-116.780779,90.0,top
C21,2u2,C_0402_1005Metric,147.43345,-104.320779,-90.0,top
C3,10u,C_1210_3225Metric,136.975,-96.8,180.0,top
C4,100n,C_0402_1005Metric,132.72,-91.4,0.0,top
C5,1u,C_0603_1608Metric,140.90845,-113.300779,180.0,top
C6,100n,C_0402_1005Metric,142.45345,-112.050779,180.0,top
C7,10u,C_0603_1608Metric,140.5,-86.975,-90.0,top
C8,10u,C_0603_1608Metric,139.0,-86.975,-90.0,top
C9,1u,C_0603_1608Metric,143.40845,-105.550779,0.0,top
D1,1N4148,D_SOD-323,132.1,-89.9,0.0,top
D2,B1100,D_SMA,137.2,-90.2,0.0,top
FB1,600Î© @ 100MHz,C_0603_1608Metric,140.90845,-114.800779,180.0,top
L1,15u,L_Changjiang_FNR4020S,135.9,-86.2,0.0,top
R1,31k2,C_0402_1005Metric,128.82,-92.6,180.0,top
R2,10k,C_0402_1005Metric,128.82,-93.6,0.0,top
R3,2k2,C_0402_1005Metric,149.66345,-103.875779,0.0,top
R4,2k2,C_0402_1005Metric,154.43345,-114.570779,-90.0,top
R5,2k2,C_0402_1005Metric,147.95345,-102.800779,0.0,top
R6,2k2,C_0402_1005Metric,154.43345,-112.530779,-90.0,top
R7,10k,C_0402_1005Metric,158.5,-89.02,90.0,top
R8,10k,C_0402_1005Metric,158.0,-90.98,-90.0,top
R9,10k,C_0402_1005Metric,150.95345,-97.875779,180.0,top
SW1,NRST,SW_Push_1P1T_NO_CK_KMR2,160.8,-87.45,90.0,top
SW2,BOOT0,SW_Push_1P1T_NO_CK_KMR2,165.3,-87.45,90.0,top
U1,MCP16331x-xCH,SOT-23-6,132.35,-93.5875,0.0,top
U2,SN65HVD230,SOIC-8_3.9x4.9mm_P1.27mm,154.52845,-100.575779,90.0,top
U3,STM32H523CETx,LQFP-48_7x7mm_P0.5mm,148.68345,-110.550779,0.0,top
Y1,X322516MLB4SI,Crystal_SMD_3225-4Pin_3.2x2.5mm,140.33345,-109.650779,0.0,top
